area,variety
Bad Wimsbach,Wvar_3
Bad Wimsbach,Wvar_9
Bad Wimsbach,Wvar_2
Bad Wimsbach,Wvar_10
Bad Wimsbach,Wvar_4
Bad Wimsbach,Wvar_13
Bad Wimsbach,Wvar_15
Bad Wimsbach,Wvar_7
Bad Wimsbach,Wvar_1
Bad Wimsbach,Wvar_14
Bad Wimsbach,Wvar_16
Bad Wimsbach,Wvar_8
Bad Wimsbach,Wvar_11
Bad Wimsbach,Wvar_12
Bad Wimsbach,Wvar_5
Flinsbach,Wvar_9
Flinsbach,Wvar_3
Flinsbach,Wvar_10
Flinsbach,Wvar_2
Flinsbach,Wvar_15
Flinsbach,Wvar_16
Flinsbach,Wvar_8
Flinsbach,Wvar_4
Flinsbach,Wvar_12
Flinsbach,Wvar_1
Flinsbach,Wvar_7
Flinsbach,Wvar_13
Flinsbach,Wvar_11
Flinsbach,Wvar_5
Flinsbach,Wvar_14
Reicherberg,Wvar_7
Reicherberg,Wvar_4
Reicherberg,Wvar_14
Reicherberg,Wvar_10
Reicherberg,Wvar_16
Reicherberg,Wvar_8
Reicherberg,Wvar_11
Reicherberg,Wvar_1
Reicherberg,Wvar_13
Reicherberg,Wvar_15
Reicherberg,Wvar_5
Reicherberg,Wvar_12
Reicherberg,Wvar_2
Reicherberg,Wvar_3
Reicherberg,Wvar_9
Zinsenhof,Wvar_3
Zinsenhof,Wvar_9
Zinsenhof,Wvar_2
Zinsenhof,Wvar_10
Zinsenhof,Wvar_7
Zinsenhof,Wvar_16
Zinsenhof,Wvar_12
Zinsenhof,Wvar_8
Zinsenhof,Wvar_15
Zinsenhof,Wvar_4
Zinsenhof,Wvar_14
Zinsenhof,Wvar_13
Zinsenhof,Wvar_11
Zinsenhof,Wvar_1
Zinsenhof,Wvar_5
