Area,NIRS
Bad Wimsbach_1,12.4
Bad Wimsbach_10,12.5
Bad Wimsbach_11,12.7
Bad Wimsbach_12,12.5
Bad Wimsbach_13,11.8
Bad Wimsbach_14,13.4
Bad Wimsbach_15,12.2
Bad Wimsbach_2,14.3
Bad Wimsbach_3,12
Bad Wimsbach_4,12.2
Bad Wimsbach_5,13
Bad Wimsbach_6,11.9
Bad Wimsbach_7,13
Bad Wimsbach_8,11.3
Bad Wimsbach_9,12.4
Flinsbach_1,13.9
Flinsbach_10,14.4
Flinsbach_11,14.4
Flinsbach_12,13.5
Flinsbach_13,14.3
Flinsbach_14,12.8
Flinsbach_15,13.1
Flinsbach_2,12.7
Flinsbach_3,13.4
Flinsbach_4,14.9
Flinsbach_5,14.5
Flinsbach_6,14.5
Flinsbach_7,13.9
Flinsbach_8,13.1
Flinsbach_9,14.5
Reichersberg_1,8.8
Reichersberg_10,9
Reichersberg_11,7.5
Reichersberg_12,10.2
Reichersberg_13,8.2
Reichersberg_14,9.4
Reichersberg_15,10.3
Reichersberg_2,9.4
Reichersberg_3,8.8
Reichersberg_4,9.3
Reichersberg_5,8.1
Reichersberg_6,8.5
Reichersberg_7,8.3
Reichersberg_8,8.7
Reichersberg_9,8.3
Zinsenhof_1,12.1
Zinsenhof_10,10.8
Zinsenhof_11,12
Zinsenhof_12,11.8
Zinsenhof_13,10.3
Zinsenhof_14,10.3
Zinsenhof_15,11.1
Zinsenhof_2,11.4
Zinsenhof_3,10.6
Zinsenhof_4,11.9
Zinsenhof_5,12
Zinsenhof_6,11.1
Zinsenhof_7,10.7
Zinsenhof_8,10.1
Zinsenhof_9,11.2
