wavenumber,beta_turn,alpha_helix,beta_sheet,beta_sheet,side_chain,wavenumber2,albumins
1697.051,2.45E-06,8.62E-07,3.83E-08,7.94E-11,5.13E-12,1700.908,1.91E-05
1695.122,4.79E-06,9.55E-07,4.10E-08,8.41E-11,5.38E-12,1698.979,6.77E-06
1693.194,8.73E-06,1.06E-06,4.39E-08,8.93E-11,5.65E-12,1697.051,0
1691.265,1.48E-05,1.20E-06,4.71E-08,9.49E-11,5.95E-12,1695.122,1.15E-07
1689.337,2.33E-05,1.35E-06,5.08E-08,1.01E-10,6.27E-12,1693.194,5.92E-06
1687.408,3.40E-05,1.55E-06,5.49E-08,1.08E-10,6.61E-12,1691.265,1.54E-05
1685.48,4.62E-05,1.79E-06,5.94E-08,1.16E-10,6.99E-12,1689.337,2.52E-05
1683.552,5.84E-05,2.10E-06,6.46E-08,1.24E-10,7.39E-12,1687.408,3.45E-05
1681.623,6.86E-05,2.53E-06,7.05E-08,1.33E-10,7.84E-12,1685.48,4.70E-05
1679.695,7.48E-05,3.14E-06,7.73E-08,1.44E-10,8.32E-12,1683.552,6.28E-05
1677.766,7.59E-05,4.10E-06,8.51E-08,1.55E-10,8.86E-12,1681.623,7.66E-05
1675.838,7.15E-05,5.75E-06,9.41E-08,1.69E-10,9.44E-12,1679.695,8.17E-05
1673.909,6.27E-05,8.74E-06,1.05E-07,1.84E-10,1.01E-11,1677.766,7.77E-05
1671.981,5.10E-05,1.42E-05,1.17E-07,2.01E-10,1.08E-11,1675.838,6.98E-05
1670.052,3.86E-05,2.40E-05,1.32E-07,2.20E-10,1.16E-11,1673.909,6.48E-05
1668.124,2.72E-05,4.04E-05,1.50E-07,2.43E-10,1.25E-11,1671.981,6.67E-05
1666.195,1.78E-05,6.55E-05,1.72E-07,2.70E-10,1.35E-11,1670.052,7.16E-05
1664.267,1.08E-05,0.000100105,1.99E-07,3.01E-10,1.46E-11,1668.124,7.51E-05
1662.338,6.10E-06,0.000142109,2.34E-07,3.37E-10,1.59E-11,1666.195,8.30E-05
1660.41,3.20E-06,0.000185787,2.79E-07,3.81E-10,1.73E-11,1664.267,0.000103724
1658.481,1.56E-06,0.000222621,3.38E-07,4.34E-10,1.89E-11,1662.338,0.000142068
1656.553,7.09E-07,0.000243773,4.20E-07,5.00E-10,2.08E-11,1660.41,0.000191603
1654.625,2.99E-07,0.000243659,5.39E-07,5.81E-10,2.30E-11,1658.481,0.000232138
1652.696,1.17E-07,0.000222295,7.29E-07,6.85E-10,2.56E-11,1656.553,0.000247638
1650.768,4.26E-08,0.000185359,1.08E-06,8.21E-10,2.87E-11,1654.625,0.000239465
1648.839,1.44E-08,0.000141635,1.89E-06,1.00E-09,3.23E-11,1652.696,0.000216971
1646.911,4.54E-09,9.97E-05,4.02E-06,1.25E-09,3.67E-11,1650.768,0.000187469
1644.982,1.33E-09,6.52E-05,9.30E-06,1.66E-09,4.21E-11,1648.839,0.000150687
1643.054,3.61E-10,4.02E-05,1.99E-05,3.17E-09,4.93E-11,1646.911,0.000105993
1641.125,9.17E-11,2.39E-05,3.53E-05,1.89E-08,6.36E-11,1644.982,6.87E-05
1639.197,2.20E-11,1.42E-05,4.93E-05,1.73E-07,1.34E-10,1643.054,5.59E-05
1637.268,5.27E-12,8.70E-06,5.32E-05,1.21E-06,6.60E-10,1641.125,6.17E-05
1635.34,1.50E-12,5.73E-06,4.40E-05,5.68E-06,4.31E-09,1639.197,6.70E-05
1633.411,6.84E-13,4.09E-06,2.83E-05,1.78E-05,2.57E-08,1637.268,6.18E-05
1631.483,4.93E-13,3.13E-06,1.46E-05,3.70E-05,1.29E-07,1635.34,5.21E-05
1629.554,4.28E-13,2.52E-06,6.47E-06,5.11E-05,5.40E-07,1633.411,5.10E-05
1627.626,3.90E-13,2.10E-06,2.84E-06,4.69E-05,1.88E-06,1631.483,5.92E-05
1625.698,3.60E-13,1.79E-06,1.45E-06,2.85E-05,5.45E-06,1629.554,6.16E-05
1623.769,3.33E-13,1.54E-06,8.97E-07,1.15E-05,1.31E-05,1627.626,5.00E-05
1621.841,3.10E-13,1.35E-06,6.35E-07,3.09E-06,2.62E-05,1625.698,3.43E-05
1619.912,2.88E-13,1.19E-06,4.82E-07,5.54E-07,4.36E-05,1623.769,2.77E-05
1617.984,2.69E-13,1.06E-06,3.81E-07,6.88E-08,6.03E-05,1621.841,3.34E-05
1616.055,2.52E-13,9.54E-07,3.10E-07,7.76E-09,6.92E-05,1619.912,4.70E-05
1614.127,2.37E-13,8.61E-07,2.58E-07,2.18E-09,6.61E-05,1617.984,6.12E-05
1612.198,2.23E-13,7.81E-07,2.18E-07,1.46E-09,5.24E-05,1616.055,6.83E-05
1610.27,2.10E-13,7.12E-07,1.87E-07,1.14E-09,3.46E-05,1614.127,6.59E-05
1608.341,1.98E-13,6.52E-07,1.62E-07,9.18E-10,1.89E-05,1612.198,5.58E-05
1606.413,1.87E-13,6.00E-07,1.42E-07,7.58E-10,8.63E-06,1610.27,3.87E-05
1604.484,1.77E-13,5.53E-07,1.25E-07,6.38E-10,3.27E-06,1608.341,1.88E-05
,,,,,,1606.413,4.78E-06
,,,,,,1604.484,0
,,,,,,1602.556,1.52E-06
,,,,,,1600.627,4.35E-06
