wavenumber1,beta_turn,beta_turn,alpha_helix,beta_sheet,random_coil,wavenumber2,gliadins
1693.194,2.05E-16,1.02E-08,4.11E-10,1.31E-06,6.23E-06,1700.908,3.39E-05
1691.265,2.16E-16,1.08E-08,4.44E-10,1.47E-06,1.42E-05,1698.979,2.78E-05
1689.337,2.28E-16,1.15E-08,4.82E-10,1.66E-06,2.85E-05,1697.051,2.05E-05
1687.408,2.42E-16,1.22E-08,5.25E-10,1.90E-06,4.99E-05,1695.122,9.69E-06
1685.48,2.56E-16,1.31E-08,5.74E-10,2.19E-06,7.64E-05,1693.194,9.51E-07
1683.552,2.72E-16,1.40E-08,6.31E-10,2.55E-06,0.00010224,1691.265,0
1681.623,2.89E-16,1.50E-08,7.00E-10,3.00E-06,0.000119471,1689.337,9.16E-06
1679.695,3.08E-16,1.62E-08,7.91E-10,3.58E-06,0.000121908,1687.408,3.07E-05
1677.766,3.30E-16,1.75E-08,9.44E-10,4.34E-06,0.000108619,1685.48,5.73E-05
1675.838,3.53E-16,1.89E-08,1.31E-09,5.37E-06,8.45E-05,1683.552,8.32E-05
1673.909,3.79E-16,2.06E-08,2.46E-09,6.78E-06,5.74E-05,1681.623,0.000108044
1671.981,4.08E-16,2.24E-08,6.29E-09,8.75E-06,3.41E-05,1679.695,0.000134042
1670.052,4.42E-16,2.46E-08,1.87E-08,1.15E-05,1.77E-05,1677.766,0.00016274
1668.124,4.89E-16,2.70E-08,5.64E-08,1.53E-05,8.07E-06,1675.838,0.000190516
1666.195,6.28E-16,2.99E-08,1.63E-07,2.01E-05,3.24E-06,1673.909,0.000209809
1664.267,1.57E-15,3.32E-08,4.42E-07,2.55E-05,1.17E-06,1671.981,0.000215613
1662.338,8.99E-15,3.72E-08,1.11E-06,3.05E-05,3.93E-07,1670.052,0.000211914
1660.41,6.47E-14,4.19E-08,2.61E-06,3.37E-05,1.39E-07,1668.124,0.000207746
1658.481,4.47E-13,4.76E-08,5.66E-06,3.38E-05,6.24E-08,1666.195,0.000203709
1656.553,2.84E-12,5.46E-08,1.14E-05,3.08E-05,3.87E-08,1664.267,0.000197055
1654.625,1.65E-11,6.34E-08,2.12E-05,2.59E-05,2.95E-08,1662.338,0.000192608
1652.696,8.77E-11,7.46E-08,3.67E-05,2.04E-05,2.45E-08,1660.41,0.00019404
1650.768,4.25E-10,8.97E-08,5.88E-05,1.56E-05,2.09E-08,1658.481,0.000200887
1648.839,1.88E-09,1.12E-07,8.72134E-05,1.17E-05,1.82E-08,1656.553,0.00021229
1646.911,7.57E-09,1.53E-07,0.00011991,8.91E-06,1.59E-08,1654.625,0.000218917
1644.982,2.79E-08,2.54E-07,0.000152744,6.90E-06,1.41E-08,1652.696,0.000210459
1643.054,9.37E-08,5.59E-07,0.000180308,5.45E-06,1.26E-08,1650.768,0.000190083
1641.125,2.87E-07,1.47E-06,0.000197214,4.41E-06,1.13E-08,1648.839,0.000164704
1639.197,8.04E-07,3.95E-06,0.000199879,3.63E-06,1.02E-08,1646.911,0.000137182
1637.268,2.05E-06,9.70E-06,0.000187714,3.03E-06,9.29E-09,1644.982,0.000109818
1635.34,4.79E-06,2.08E-05,0.000163359,2.57E-06,8.48E-09,1643.054,8.27E-05
1633.411,1.02E-05,3.86E-05,0.000131719,2.21E-06,7.77E-09,1641.125,5.82E-05
1631.483,1.98E-05,6.11E-05,9.84252E-05,1.92E-06,7.14E-09,1639.197,4.14E-05
1629.554,3.51E-05,8.24E-05,6.81E-05,1.68E-06,6.59E-09,1637.268,3.41E-05
1627.626,5.68E-05,9.46E-05,4.37E-05,1.48E-06,6.10E-09,1635.34,3.48E-05
1625.698,8.38366E-05,9.24E-05,2.60E-05,1.32E-06,5.67E-09,1633.411,3.91E-05
1623.769,0.000112982,7.68E-05,1.43E-05,1.18E-06,5.28E-09,1631.483,4.31E-05
1621.841,0.000138983,5.43E-05,7.31E-06,1.06E-06,4.93E-09,1629.554,4.52E-05
1619.912,0.000156028,3.28E-05,3.46E-06,9.62E-07,4.61E-09,1627.626,4.13E-05
1617.984,0.000159877,1.69E-05,1.52E-06,8.74E-07,4.32E-09,1625.698,3.13E-05
1616.055,0.000149519,7.56E-06,6.17E-07,7.99E-07,4.06E-09,1623.769,2.57E-05
1614.127,0.000127616,2.98E-06,2.33E-07,7.32E-07,3.83E-09,1621.841,3.54E-05
1612.198,9.94219E-05,1.10E-06,8.25E-08,6.74E-07,3.61E-09,1619.912,6.11E-05
1610.27,7.07E-05,4.33E-07,2.76E-08,6.22E-07,3.41E-09,1617.984,9.35E-05
1608.341,4.59E-05,2.13E-07,9.15E-09,5.76E-07,3.23E-09,1616.055,0.000119536
1606.413,2.72E-05,1.38E-07,3.33E-09,5.35E-07,3.06E-09,1614.127,0.000129903
1604.484,1.47E-05,1.04E-07,1.58E-09,4.98E-07,2.90E-09,1612.198,0.000125789
1602.556,7.25E-06,8.48E-08,1.03E-09,4.65E-07,2.76E-09,1610.27,0.000112361
1600.627,3.26297E-06,7.10126E-08,8.33788E-10,4.3482E-07,2.62469E-09,1608.341,8.96E-05
,,,,,,1606.413,5.99E-05
,,,,,,1604.484,3.23E-05
,,,,,,1602.556,1.22E-05
,,,,,,1600.627,0
